PID,TIME,CMD
1353,00:00:00,/usr/lib/xdg-desktop-portal-gtk
1365,00:00:00,/usr/lib/libproxy/pxgsettings
1380,00:00:00,/usr/bin/pipewire
1399,00:00:00,/usr/bin/python
1411,00:00:00,/usr/lib/bluetooth/obexd
1454,00:01:08,/usr/bin/python3
1514,00:00:00,/usr/bin/dde-file-manager-daemon
1606,00:00:00,/usr/lib/gvfsd-metadata
1657,00:00:09,/usr/bin/dde-launcher
6068,00:02:45,/usr/bin/dde-lock
10524,00:00:32,[kworker/u17:2-i915-userptr-acquire]
11119,00:12:00,/snap/spotify/36/usr/share/spotify/spotify
11263,00:00:00,/snap/spotify/36/usr/share/spotify/spotify
11278,00:02:56,/snap/spotify/36/usr/share/spotify/spotify
11300,00:06:12,/snap/spotify/36/usr/share/spotify/spotify
11899,00:00:00,[kworker/0:2H-kblockd]
11900,00:00:00,[kworker/2:2H-kblockd]
11901,00:00:00,[kworker/3:2H-kblockd]
11905,00:00:00,[kworker/1:2H-events_highpri]
14828,00:00:00,/usr/lib/gvfsd-trash
14840,00:00:00,/usr/lib/gvfsd-network
14858,00:00:00,/usr/lib/gvfsd-dnssd
17606,00:00:00,[kworker/1:1-events]
17943,00:00:04,[kworker/u16:4-i915]
17980,00:00:00,[irq/45-mei_me]
18126,00:00:03,/usr/lib/deepin-daemon/dde-osd
18202,00:00:50,/var/lib/snapd/snap/code/20/usr/share/code/code
18204,00:00:00,/var/lib/snapd/snap/code/20/usr/share/code/code
18241,00:01:06,/var/lib/snapd/snap/code/20/usr/share/code/code
18251,00:04:21,/var/lib/snapd/snap/code/20/usr/share/code/code
18302,00:00:21,/var/lib/snapd/snap/code/20/usr/share/code/code
18310,00:00:00,/bin/bash
18322,00:00:06,/var/lib/snapd/snap/code/20/usr/share/code/code
18344,00:00:01,/var/lib/snapd/snap/code/20/usr/share/code/code
18362,00:00:00,/var/lib/snapd/snap/code/20/usr/share/code/code
18376,00:00:24,/var/lib/snapd/snap/code/20/usr/share/code/code
18409,00:00:02,/var/lib/snapd/snap/code/20/usr/share/code/code
18468,00:00:42,/usr/lib/jvm/java-11-openjdk/bin/java
18473,00:02:53,/usr/lib/opera/opera
18497,00:00:00,/usr/lib/opera/opera
18499,00:00:00,/usr/lib/opera/opera
18528,00:01:23,/usr/lib/opera/opera
18531,00:00:29,/usr/lib/opera/opera
18560,00:00:00,/usr/lib/opera/opera
18562,00:00:00,/usr/lib/opera/opera
18569,00:00:06,/usr/lib/opera/opera
18578,00:00:02,/usr/lib/opera/opera
18579,00:00:08,/usr/lib/opera/opera
18583,00:00:21,/usr/lib/opera/opera
18590,00:00:07,/usr/lib/opera/opera
18612,00:00:00,/usr/lib/opera/opera
18724,00:00:00,/usr/lib/opera/opera
18763,00:00:57,/usr/lib/opera/opera
18781,00:00:00,/usr/lib/opera/opera
18793,00:00:00,/usr/lib/opera/opera
18824,00:00:06,/usr/lib/opera/opera
18825,00:00:00,/usr/lib/opera/opera
18835,00:00:00,/usr/lib/opera/opera
19009,00:00:07,/usr/lib/opera/opera
19021,00:00:01,/usr/lib/opera/opera
19032,00:00:00,/usr/lib/opera/opera
19047,00:00:00,/usr/lib/opera/opera
19057,00:00:00,/usr/lib/opera/opera
19062,00:01:10,/usr/lib/opera/opera
19077,00:00:01,/usr/lib/opera/opera
19096,00:00:00,/usr/lib/opera/opera
19111,00:00:00,/usr/lib/opera/opera
19184,00:00:41,/usr/bin/dde-file-manager
19225,00:00:05,/usr/bin/python
19303,00:00:01,deepin-terminal
19313,00:00:00,/bin/bash
19343,00:00:30,/usr/bin/NetworkManager
19639,00:00:09,/usr/lib/opera/opera
19787,00:00:59,/usr/lib/opera/opera
20090,00:00:09,/snap/powershell/77/opt/powershell/pwsh
20124,00:00:02,[kworker/3:3-events]
20876,00:00:01,/var/lib/snapd/snap/code/20/usr/share/code/code
20984,00:00:00,[kworker/u16:0-phy0]
20997,00:00:00,[kworker/0:1-events]
21050,00:00:00,[kworker/2:0-events]
21129,00:00:00,[kworker/u16:2-events_power_efficient]
21164,00:00:14,/usr/lib/jvm/java-11-openjdk/bin/java
21199,00:00:15,/usr/lib/jvm/java-11-openjdk/bin/java
21419,00:00:00,[kworker/3:0-events]
21474,00:00:31,/usr/lib/opera/opera
21495,00:00:00,[kworker/2:1-events]
21502,00:00:00,[kworker/0:0-events]
21505,00:00:00,[kworker/1:2-events]
21509,00:00:00,/usr/lib/opera/opera
21620,00:00:17,/usr/lib/opera/opera
21678,00:00:00,/usr/lib/opera/opera
21688,00:00:00,/usr/lib/opera/opera
21712,00:00:00,/usr/lib/opera/opera
21775,00:00:00,[kworker/0:0H-kblockd]
21787,00:00:05,/usr/lib/opera/opera
21797,00:00:02,/usr/lib/opera/opera
21826,00:00:00,[kworker/3:1H-kblockd]
22044,00:00:00,[kworker/u16:1-events_unbound]
22140,00:00:00,/usr/lib/opera/opera
22171,00:00:05,/usr/lib/opera/opera
22183,00:00:00,[kworker/0:2-events]
22186,00:00:00,/usr/lib/opera/opera
22196,00:00:00,[kworker/1:0]
22199,00:00:02,/usr/lib/opera/opera
22214,00:00:00,/usr/lib/opera/opera
22228,00:00:00,[kworker/2:1H-events_highpri]
22272,00:00:00,/bin/sh
22274,00:00:00,sh
22275,00:00:00,ps
22276,00:00:00,awk
