CMD,PID,TIME
/usr/lib/dconf-service,12575,00:00:00
/usr/bin/baloo_file,12602,00:00:14
/usr/lib/geoclue-2.0/demos/agent,12645,00:00:00
/usr/lib/tracker-miner-fs,12655,00:00:00
/usr/lib/tracker-miner-rss,12657,00:00:03
/usr/lib/gvfsd,12661,00:00:00
/usr/lib/gvfsd-fuse,12667,00:00:00
/usr/lib/gvfs-udisks2-volume-monitor,12676,00:00:00
/usr/lib/gvfs-mtp-volume-monitor,12718,00:00:00
/usr/lib/gvfs-gphoto2-volume-monitor,12723,00:00:00
/usr/lib/gvfs-afc-volume-monitor,12727,00:00:00
/usr/lib/gvfs-goa-volume-monitor,12732,00:00:00
/usr/lib/goa-daemon,12736,00:00:00
/usr/lib/goa-identity-service,12756,00:00:00
/usr/lib/at-spi-bus-launcher,12763,00:00:00
/usr/bin/dbus-daemon,12773,00:00:00
/usr/lib/bluetooth/obexd,12834,00:00:00
/usr/lib/gvfsd-metadata,12837,00:00:00
/usr/lib/Xorg,13167,00:11:43
lightdm,13215,00:00:00
/usr/bin/gnome-keyring-daemon,13249,00:00:00
/usr/bin/startdde,13252,00:00:06
deepin-wm,13287,00:14:39
/usr/lib/deepin-daemon/dde-session-daemon,13294,00:10:02
/usr/bin/pulseaudio,13297,00:13:50
/usr/bin/dde-dock,13319,00:00:30
/usr/lib/at-spi2-registryd,13326,00:00:02
/usr/bin/dde-desktop,13340,00:00:04
/usr/lib/pulse/gsettings-helper,13373,00:00:00
/usr/lib/bamf/bamfdaemon,13381,00:00:05
/usr/bin/python,13431,00:00:01
pamac-tray,13437,00:00:00
msm_notifier,13439,00:00:06
/usr/lib/geoclue-2.0/demos/agent,13441,00:00:00
parcellite,13451,00:00:57
/usr/lib/xdg-desktop-portal,13475,00:00:01
/usr/lib/xdg-document-portal,13479,00:00:00
/usr/lib/xdg-permission-store,13482,00:00:00
/usr/lib/xdg-desktop-portal-gtk,13493,00:00:00
/usr/lib/libproxy/pxgsettings,13505,00:00:00
/usr/bin/pipewire,13514,00:00:00
/usr/bin/python,13517,00:00:00
/home/hagia/.dropbox-dist/dropbox-lnx.x86_64-84.4.170/dropbox,13560,00:01:51
/usr/lib/polkit-1-dde/dde-polkit-agent,13632,00:00:01
/usr/bin/python3,13699,00:03:07
/usr/bin/dde-lock,15770,00:03:41
[loop10],17546,00:00:00
/usr/lib/gvfsd-trash,18060,00:00:00
/usr/lib/gvfsd-network,18073,00:00:02
/usr/lib/gvfsd-dnssd,18085,00:00:01
/usr/bin/dde-file-manager,19207,00:03:08
[kworker/u17:2-i915-userptr-acquire],19314,00:00:00
/usr/bin/dde-control-center,19403,00:04:05
/usr/bin/dde-launcher,19772,00:00:04
/snap/spotify/36/usr/share/spotify/spotify,20090,00:08:19
/snap/spotify/36/usr/share/spotify/spotify,20227,00:00:00
/snap/spotify/36/usr/share/spotify/spotify,20240,00:02:20
/snap/spotify/36/usr/share/spotify/spotify,20262,00:05:11
xreader,22822,00:00:17
/usr/lib/WebKitWebProcess,22842,00:00:00
/usr/lib/WebKitNetworkProcess,22843,00:00:00
[kworker/u17:0-i915-userptr-acquire],23139,00:00:00
/usr/lib/opera/opera,23329,00:09:05
/usr/lib/opera/opera,23332,00:00:00
/usr/lib/opera/opera,23334,00:00:00
/usr/lib/opera/opera,23356,00:06:45
